run,node_idx,priority,wait_ms,order
0,3,4,10,1
0,1,2,220,2
0,2,3,431,3
0,0,1,642,4
0,4,5,854,5
1,3,4,11,1
1,0,1,222,2
1,2,3,433,3
1,1,2,644,4
1,4,5,854,5
2,0,1,10,1
2,3,4,220,2
2,2,3,432,3
2,4,5,643,4
2,1,2,853,5
3,4,5,10,1
3,2,3,222,2
3,1,2,433,3
3,0,1,645,4
3,3,4,856,5
4,0,1,20,1
4,1,2,232,2
4,3,4,443,3
4,2,3,654,4
4,4,5,865,5
5,3,4,21,1
5,4,5,233,2
5,0,1,444,3
5,2,3,656,4
5,1,2,867,5
6,4,5,11,1
6,3,4,221,2
6,1,2,432,3
6,0,1,643,4
6,2,3,855,5
7,4,5,10,1
7,1,2,221,2
7,0,1,432,3
7,2,3,643,4
7,3,4,854,5
8,2,3,10,1
8,3,4,221,2
8,4,5,432,3
8,1,2,642,4
8,0,1,853,5
9,4,5,11,1
9,3,4,221,2
9,0,1,432,3
9,1,2,643,4
9,2,3,854,5
